1,2,0.0083,0.028,0.129,0,0,0,0,0,1,-360,360,80.62531260695197,-17.57550036548987,-80.08440938823175,6.335301349422494,0,0,0,0
2,3,0.0298,0.08500000000000001,0.0818,0,0,0,0,0,1,-360,360,177.0839612104561,-44.33559996791889,-167.3493793155352,63.88837576862691,0,0,0,0
3,4,0.0112,0.0366,0.038,0,0,0,0,0,1,-360,360,186.7661330083239,-38.66237512710151,-182.7030117861947,48.16300763205339,0,0,0,0
4,5,0.0625,0.132,0.0258,0,0,0,0,0,1,-360,360,63.04803169727948,-26.6425076995353,-60.12982907829419,30.25614683665302,0,0,0,0
4,6,0.043,0.148,0.0348,0,0,0,0,0,1,-360,360,87.72622103428537,-25.405110034167,-84.13688159499168,34.29162907261314,0,0,0,0
6,7,0.02,0.102,0.0276,0,0,0,0,0,1,-360,360,35.11535121937996,-17.29378277987938,-34.81919630725487,16.00649441360327,0,0,0,0
6,8,0.0339,0.173,0.047,0,0,0,0,0,1,-360,360,20.18659037603632,-29.19661353283897,-19.80566289465688,26.22917144294954,0,0,0,0
8,9,0.009900000000000001,0.0505,0.0548,0,0,0,0,0,1,-360,360,-104.9484250038572,108.7729794720571,107.0902656513942,-103.5638045126835,0,0,0,0
9,10,0.0369,0.1679,0.044,0,0,0,0,0,1,-360,360,-25.32332908080028,11.15121609750623,25.62574668251897,-14.12278937056747,0,0,0,0
9,11,0.0258,0.0848,0.0218,0,0,0,0,0,1,-360,360,-39.77013665631708,33.91392744691164,40.49435826190835,-33.67350558526343,0,0,0,0
9,12,0.0648,0.295,0.0772,0,0,0,0,0,1,-360,360,-39.17080245429695,4.744808468102687,40.21308664817568,-7.776127845520346,0,0,0,0
9,13,0.0481,0.158,0.0406,0,0,0,0,0,1,-360,360,-49.58551031541489,30.0066107702715,51.2618996389478,-28.47041159864463,0,0,0,0
13,14,0.0132,0.0434,0.011,0,0,0,0,0,1,-360,360,-33.63897228042146,32.95205634809377,33.94998886947762,-32.9701611518142,0,0,0,0
13,15,0.0269,0.08690000000000001,0.023,0,0,0,0,0,1,-360,360,-80.50256821928558,20.13419812250777,82.45311283150176,-16.04589903066553,0,0,0,0
1,15,0.0178,0.091,0.0988,0,0,0,0,0,1,-360,360,223.6881839709316,0.7561591537336086,-214.9170984841624,34.28160786560701,0,0,0,0
1,16,0.0454,0.206,0.0546,0,0,0,0,0,1,-360,360,101.2339594822858,-7.938728236953851,-96.64308914250833,23.29158372020951,0,0,0,0
1,17,0.0238,0.108,0.0286,0,0,0,0,0,1,-360,360,115.3324685006856,-3.019722261145226,-112.2163205541579,14.30490731767662,0,0,0,0
3,15,0.0162,0.053,0.0544,0,0,0,0,0,1,-360,360,41.90814857993519,13.77394662195399,-41.579170097423,-18.04818376173922,0,0,0,0
4,18,0,0.555,0,0,0,0,0.97,0,1,-360,360,14.0029827917337,2.573588494303627,-14.0029827917337,-1.503454421358889,0,0,0,0
4,18,0,0.43,0,0,0,0,0.978,0,1,-360,360,17.92577587370963,1.311022778316032,-17.92577587370961,0.03221264989202444,0,0,0,0
5,6,0.0302,0.0641,0.0124,0,0,0,0,0,1,-360,360,47.1298291006982,-34.25614651996612,-46.10413064802131,35.19883486057911,0,0,0,0
7,8,0.0139,0.0712,0.0194,0,0,0,0,0,1,-360,360,-2.891217913171892,-43.76621696806039,3.140784084060436,42.99790084768084,0,0,0,0
10,12,0.0277,0.1262,0.0328,0,0,0,0,0,1,-360,360,-57.22763429347033,-2.032400422594765,58.1569485030094,3.001306297314002,0,0,0,0
11,13,0.0223,0.0732,0.0188,0,0,0,0,0,1,-360,360,-60.99535990903502,24.53600037298542,62.00644923300482,-23.02117744138672,0,0,0,0
12,13,0.0178,0.058,0.0604,0,0,0,0,0,1,-360,360,52.57376299959174,32.66684595441758,-51.86488566408928,-36.30809570331923,0,0,0,0
12,16,0.018,0.0813,0.0216,0,0,0,0,0,1,-360,360,-53.00451886123093,27.01021179394666,53.64307584291642,-26.29156420810423,0,0,0,0
12,17,0.0397,0.179,0.0476,0,0,0,0,0,1,-360,360,-68.05879525677082,27.28403414551738,70.21630486804047,-22.30488899036284,0,0,0,0
14,15,0.0171,0.0547,0.0148,0,0,0,0,0,1,-360,360,-100.3429900715672,4.571500172819978,102.1870671312809,-0.08199217620075416,0,0,0,0
18,19,0.461,0.6850000000000001,0,0,0,0,0,0,1,-360,360,4.728758953813625,1.957884626165785,-4.61136737218386,-1.783452449557566,0,0,0,0
19,20,0.283,0.434,0,0,0,0,0,0,1,-360,360,1.311366972549366,1.183453905772431,-1.302168536125839,-1.169347469702428,0,0,0,0
21,20,0,0.7766999999999999,0,0,0,0,1.043,0,1,-360,360,0.9978315406058261,-0.1609062988002,-0.9978315406058326,0.1693489450784661,0,0,0,0
21,22,0.0736,0.117,0,0,0,0,0,0,1,-360,360,-0.9978315982413727,0.1609071684601522,0.9985670169167142,-0.1597380925767963,0,0,0,0
22,23,0.009900000000000001,0.0152,0,0,0,0,0,0,1,-360,360,24.54978185650749,-7.361939912102461,-24.48624047803845,7.459498392176133,0,0,0,0
23,24,0.166,0.256,0.008399999999999999,0,0,0,0,0,1,-360,360,18.18624048505976,-9.559498386941497,-17.51286432398435,9.74457456514379,0,0,0,0
24,25,0,1.182,0,0,0,0,1,0,1,-360,360,6.323444215374439,1.96568803625627,-6.323444215374439,-1.453025038034899,0,0,0,0
24,25,0,1.23,0,0,0,0,1,0,1,-360,360,6.076675660628124,1.888978259231641,-6.076675660628124,-1.39632162191647,0,0,0,0
24,26,0,0.0473,0,0,0,0,1.043,0,1,-360,360,5.112744457788725,-13.59924085816174,-5.11274445778875,13.70666996261075,0,0,0,0
26,27,0.165,0.254,0,0,0,0,0,0,1,-360,360,5.112744467516657,-13.7066699498326,-4.737991778015585,14.28356196882213,0,0,0,0
27,28,0.0618,0.0954,0,0,0,0,0,0,1,-360,360,-4.56200820979137,-14.78356195866825,4.71036344081562,15.01257634442413,0,0,0,0
28,29,0.0418,0.0587,0,0,0,0,0,0,1,-360,360,-9.310363435433507,-17.31257634016365,9.466983634243448,17.53251905954507,0,0,0,0
7,29,0,0.0648,0,0,0,0,0.967,0,1,-360,360,37.71040272364032,27.75977742294487,-37.71040272364029,-26.46185305963903,0,0,0,0
25,30,0.135,0.202,0,0,0,0,0,0,1,-360,360,6.100119875439387,5.375869799160534,-6.008165718326389,-5.238279134443308,0,0,0,0
